Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2012905382,Time of Day Estimation Method in a Solar Hot Water System and System Using the Method,"Gendel, Alon MR","Gendel, Alon",11/12/2012,LAPSED,
2012905396,Trailer,Solar Powered Systems Pty Ltd,Not Given,11/12/2012,LAPSED,
2012905397,Lighting Module,Solar Powered Systems Pty Ltd,Not Given,11/12/2012,LAPSED,
2012905678,Hybrid Solar Collector,"Trihey, Albert Massey MR","Trihey, Albert Massey; Trihey, John Massey",28/12/2012,LAPSED,
2012905682,"Solaclad is a nanotechnology based solar energy system – opaque, translucent or transparent, surface applied or integral – suitable for a wide range of applications including all built environment surfaces.",SOLACLAD PTY LTD,"Fox, Michael",29/12/2012,LAPSED,
2013100028,Hybrid energy production PV solar panel,"Habbouchi, Sami; Odeh, Saad D DR","Odeh, Saad D.; Habbouchi, Sami",15/01/2013,CERTIFIED,
2013100041,A Solar Assisted Chiller System,"Hastings, Ross","Hastings, Ross",17/01/2013,CEASED,
2013100043,A Solar Thermal Dish/Engine Power System,"Hastings, Ross","Hastings, Ross",17/01/2013,CEASED,
2013100101,Solar heating,Astral Pool Australia Pty Ltd; Fabtronics Australia Pty Ltd,"Wallace, Peter; Briggs, Rod; Harris, Frank; Goodwin, Ashley",1/02/2013,CERTIFIED,
2013100128,SOLAR MULTIFUNCTIONAL PRUNING MACHINE FOR FRUIT TREE,"Chengdu Jinhui Technology Co., Ltd.","Zhang, Yifan",6/02/2013,CEASED,
2013100162,VIRTUAL SOLAR TRACKING,Tropical Energy Solutions Pty Ltd,"Dallmeyer, Frank",11/02/2013,CEASED,
2013100216,Quick Mounting System For A Photovoltaic Module,"Xiamen Grace Solar Technology Co., Ltd","HUANG, Laifu",26/02/2013,GRANTED,
2013100325,Light Weight Solar Metal Roofing,"Christian, David Frank DR","Christian, David Frank",16/03/2013,CEASED,
2013100349,Solar Energy Capture and Storage System with Revenue Recovery Through Energy Sales,"Elliston, Barbara Louise; PV Direct Limited","Elliston, Barbara Louise",22/03/2013,CERTIFIED,
2013100553,Solar Wind Hybrid System - MITHRA001,"Fernando, Mithra","Fernando, Mithra",21/04/2013,CEASED,
2013100725,Axial Movement Tester for Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","FANG, GUANGZHONG",27/05/2013,CEASED,
2013100726,Structure for Sealing Input shaft and Box Body of Reduction Box,"ZHEJIANG LINIX SOLAR CO.,LTD","SHENTU, Jun",27/05/2013,CEASED,
2013100727,Friction Plate for Planet Carrier of Planet Gearbox,"ZHEJIANG LINIX SOLAR CO.,LTD","XU, Jiangchen",27/05/2013,CEASED,
2013100728,Friction Plate for Rear End Plate of Planet Gearbox,"ZHEJIANG LINIX SOLAR CO.,LTD","XU, Jiangchen",27/05/2013,CEASED,
2013100729,Rear End Cover of Direct Current Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","HUANG, Haiyan",27/05/2013,CEASED,
2013100730,Structure for Positioning Rear End Cover and Casing of Direct Current Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","XU, Jiangchen",27/05/2013,CEASED,
2013100731,Front End Cover of Direct Current Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","XU, Jiangchen",27/05/2013,CEASED,
2013100732,Non-Stop Fixture,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100733,Fixture for Boring Center Hole on Magnetic Steel,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100734,Low-wear Lifting Motor for Automobiles,"ZHEJIANG LINIX SOLAR CO.,LTD","XU, Jiangchen",27/05/2013,CEASED,
2013100735,Lifting Motor for Automobiles,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHOU, Aimei",27/05/2013,CEASED,
2013100736,Clamping Structure for Milling Linear Actuator Conduit,"ZHEJIANG LINIX SOLAR CO.,LTD","WANG, Xin",27/05/2013,CEASED,
2013100737,Load Simulation Mechanism for Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","DU, Shan",27/05/2013,CEASED,
2013100738,Positioning and Supporting Structure for Rotor and End Cover of Motor,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100739,Multipurpose Lathe Fixture,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100740,High-Stability Lifting Motor for Automobiles,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHOU, Aimei",27/05/2013,CEASED,
2013100741,Clamping Structure for milling notches on Circumferential Surfaces of Oily Bearings,"ZHEJIANG LINIX SOLAR CO.,LTD","HUANG, Haiyan",27/05/2013,CEASED,
2013100742,Cooling Fluid Delivery mechanism for Grinder,"ZHEJIANG LINIX SOLAR CO.,LTD","HUANG, Haiyan",27/05/2013,CEASED,
2013100743,Fixture for Lathing Rotor with Two Bearing Retainers,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100744,External thread Machining Device,"ZHEJIANG LINIX SOLAR CO.,LTD","ZHANG, Jingguo",27/05/2013,CEASED,
2013100914,Cleaning PV Solar Farms via UAVs.,"Cooper, James","Cooper, James",4/07/2013,GRANTED,
2013101002,"Solar Powered Energy Storage System uses the suns energy to pump water to an elevated position creating potential energy. The efficiency of the system ranges between 4-8% during daylight hours. When the header tank (in elevated position) is full, the raised water is allowed to flow down a pipe to drive an impeller which drives a squirrel-cage generator. The generator is connected to a transformer to feed back electrical energy to the household mains or other needs. The Squirrel-cage generator is geared and clutched to supply energy when output frequency slightly exceeds mains frequency.","Chapman, Richard MR","Chapman, Richard",24/07/2013,CEASED,
2013101039,"Mathematical methods (trigonometry and integral calculus) to determine optimum configurations for solar power systems to maximise power delivery and match power demand profile"".","Felstead, Mark; Kitto, Andrew William; Roberts, Lloyd","Kitto, Andrew William; Felstead, Mark; Roberts, Lloyd",1/08/2013,CEASED,
2013101127,Solar Smart Tile,STAR 8 HOLDINGS PTY LTD,"Maimon, Yacov; Lancaster, Ian",26/08/2013,GRANTED,
2013101242,Solar Tuk-Tuk Roof,Star 8 Holdings Pty Ltd (Or Nominee),"Maimon, Yacov; Lancaster, Ian",19/09/2013,GRANTED,
2013101398,Solar Energy Conversion Sphere,"Elabor, Jonathan MR","Elabor, Jonathan",24/10/2013,CEASED,
2013101478,Improved Methods of Heating Fluids,COSMOS SOLAR PTY LTD,"KIMMINS, Russell Wayne; HURLEY, Peter Damien",13/11/2013,GRANTED,
2013101698,The means to improve the thermal efficiency of a solar collector by reducing radiant heat loss from the rear side of the solar absorber,"Pintar, Marko; Zheng, Jing Jing","Zheng, JingJing; Pintar, Marko",18/03/2013,GRANTED,
2013101703,Adjustable solar concentrator assembly and methods of using the same,One Earth Designs,"Chan, Tin Yi; Chui, Yim Ping; Frank, Scot Carrett; Kristofek, Grant W.; Kulper, Sloan Austin; Leung, Man Chuen; Micka-Smith, Heather; Powers, Catlin; Tolles, Christopher Mencke; Vleet, Liam Van; Wan, Tat Lee; Young, Erica Elizabeth",15/03/2013,GRANTED,
2013200236,A Solar Collector Header Attachment Arrangement,Rheem Australian Pty Limited,"Reardon, Jospeh; Chapman, Gregory; Bolitho, Glen",17/01/2013,GRANTED,
2013200320,AUTOMATIC SOLAR TRACKING ADJUSTMENT/CONTROL APPARATUS OF SOLAR GENERATION SYSTEM,"BIG SUN ENERGY TECHNOLOGY INCORPORATION; LUO, CHIA CHING","Luo, Chia Ching",22/01/2013,GRANTED,
2013200622,Solar cell and method of manufacturing the same,"Shin-Etsu Chemical Co., Ltd.","Watabe, Takenori; Otsuka, Hiroyuki",6/02/2013,GRANTED,
2013200629,Solar receiver panel,"Sener, Ingenieria Y Sistemas, S.A.","Lata Perez, Jesus Maria; Bayon Sanz, Pedro Angel",6/02/2013,GRANTED,
2013200776,"Reactors for conducting thermochemical processes with solar heat input, and associated systems and methods","McAlister Technologies, LLC","McALISTER, Roy Edward",8/02/2013,FILED,
2013200939,Safety Improvements for Solar Panels,SAFETY IN SOLAR PTY LTD,"Fuge, Paul Joseph; Fuge, Dayne Joseph; Baron, Rene",20/02/2013,LAPSED,
2013201557,Process for decreasing the reflectivity of a semiconductor material,The Australian National University,"Weber, Klaus Johannes; Blakers, Andrew William; Blakers, William Andrew",15/03/2013,LAPSED,
2013201559,SOLAR EARTH MODULE,"Farquhar, Roger MR","Farquhar, Roger",15/03/2013,LAPSED,
2013201614,The means to improve the thermal efficiency of a solar collector by reducing radiant heat loss from the rear side of the solar absorber,"Pintar, Marko; Zheng, Jing Jing","Zheng, JingJing; Pintar, Marko",18/03/2013,CONVERTED,
2013201680,A SOLAR POWERED LIGHTING SYSTEM,Kimberley Plastics Pty Ltd,"Kimberley, Brian",13/03/2013,LAPSED,
2013201975,COOKING DEVICE USING SOLAR ENERGY,"Terraz, Jean-Marc","Terraz, Jean-Marc",21/03/2013,FILED,
2013202221,Solar reflective coatings and coating systems cross-reference to related applications,"PPG Industries Ohio, Inc.","Decker, Eldon L.; Hellring, Stuart D.; McQuown, Stephen G.; Minch, Britt A.; Vanier, Noel R.; Polk, David W.",29/03/2013,WITHDRAWN,
2013202224,Solar reflective coatings and coating systems cross-reference to related applications,"PPG Industries Ohio, Inc.","Decker, Eldon L.; Hellring, Stuart D.; McQuown, Stephen G.; Minch, Britt A.; Vanier, Noel R.; Polk, David W.",29/03/2013,WITHDRAWN,
2013203564,A decoration solar panel bridge supplying power sources,"CARROLL, Min","CARROLL, Min",10/04/2013,LAPSED,
2013204709,SOLAR SHEETING FOR ROOFING OR WALLING,Bluescope Steel Limited,"Cobb, Kym; Blaik, Kevin John; Lloyde, Matthew James; Aldridge, Brett",12/04/2013,FILED,
2013204713,A SOLAR ROOF SHEET ASSEMBLY,Bluescope Steel Limited,"Aldridge, Brett; Lloyde, Matthew James; Blaik, Kevin John; Cobb, Kym",12/04/2013,FILED,
2013204716,SOLAR SHEETING FOR ROOFING OR WALLING,Bluescope Steel Limited,"Lloyde, Matthew James; Blaik, Kevin John; Cobb, Kym; Aldridge, Brett",12/04/2013,FILED,
2013205059,"EVM granulated material as embedding material for solar modules, method for its production, adhesive foil as well as a solar module, method for its production and production device",Lanxess Deutschland GmbH,"ROOS, Andreas; HERRMANN, Michael; KALKOFEN, Rainer; KELBCH, Stefan; FROMMONT, Hans-Jürgen; BERGMANN, Gerd; TAPPE, Ralf",13/04/2013,LAPSED,
2013205777,SOLAR PANEL HOLDER,K2 Systems GmbH,"Kemmer, David; Wiggers, Melanie; Seeg, Thomas",8/05/2013,LAPSED,
2013206238,Solar Reforming Reactor,Commonwealth Scientific and Industrial Research Organisation,"Benito, Regano; McEvoy, Stephen; McNaughton, Robbie; Hart, Glenn",7/06/2013,FILED,
2013206239,THE PRODUCTION OF SYNTHESIS GAS THROUGH THE USE OF A SOLAR RECEIVER DECOUPLED FROM A REFORMING REACTOR,Commonwealth Scientific and Industrial Research Organisation,"McNaughton, Robbie",7/06/2013,GRANTED,
2013206264,Solar-powered bollard lamp devices,Solar Streetscapes (Holdings) Pty Ltd,"Giblett, Nathan",11/06/2013,FILED,
2013206268,Power plant with solar energy system,Alstom Technology Ltd,"Carroni, Richard; Ruchti, Christoph; Dietzmann, Joerg",11/06/2013,GRANTED,
2013206693,UNIVERSAL SOLAR POWER POINT,"MAJKIC, BOGDAN","MAJKIC, BOGDAN",2/07/2013,LAPSED,
2013207143,"Method for the low-temperature production of radial-junction semiconductor nanostructures, radial junction device, and solar cell including radial-junction nanostructures",Centre National de la Recherche Scientifique; Ecole Polytechnique; Total Marketing Services,"Yu, Linwei; Roca I Cabarrocas, Pere",3/01/2013,GRANTED,
2013207591,Solar collector assembly,MH Solar Co LTD,"SATER, Bernard L.; Zahuranec, Terry; SATER, Neil D.; ZALUSKY, James Thomas",17/07/2013,LAPSED,
2013208658,Apparatus and method for using solar radiation in electrolysis process,Yeda Research and Development Co. Ltd.,"Karni, Jacob; Alioshin, Yury; Banitt, David; Scheiner, David; Harpaz, Roi; Finarov, Baruch",13/01/2013,FILED,
2013210888,Electrical supply controller,Power Diverter Limited,"Lawes, Daniel; Walters, Simon; Yeoman, Michael",21/01/2013,FILED,
2013216637,USE OF AN INERT GRAPHITE LAYER IN A BACK CONTACT OF A PHOTOVOLTAIC CELL,"PrimeStar Solar, Inc.","Clark, Laura Anne; Lucas, Tammy Jane; Metzger, Wyatt Keith",15/08/2013,FILED,
2013217282,Rylene monoimide derivatives and use thereof as photosentizers in solar cells and photodetectors,BASF SE; Max-Planck-Gesellschaft zur Forderung der Wissenschaften e.V.,"Benedito, Flavio Luiz; Bruder, Ingmar; Erk, Peter; Pschirer, Neil Gregory; Send, Robert; Mullen, Klaus; Wonneberger, Henrike; Li, Chen",7/02/2013,FILED,
2013217894,Solar tracker with refraction-based concentration,"Compania Valenciana de Energias Renovables, S.A.","Peris Domingo, Gonzalo Bernabe; Ehlis Pirretas, Sergio; Mas Mulet, Jordi; Fernandez Lacruz, Eduardo",7/02/2013,FILED,
2013218710,Organic thin film solar cell,"Sekisui Chemical Co., Ltd.","Hayakawa, Akinobu; Ito, Kazushi; Sun, Ren-de",7/02/2013,FILED,
2013218713,Organic thin film solar cell,"Sekisui Chemical Co., Ltd.","Hayakawa, Akinobu; Ito, Kazushi; Sun, Ren-De",7/02/2013,GRANTED,
2013218788,Solar generator platform,Powerak Pty Ltd,"Cap, George Jaroslav; Woodfield, Ross",7/02/2013,GRANTED,
2013219241,"APPARATUS, SYSTEM AND METHOD FOR A SOLAR PANEL SAFETY SWITCH",Schneider Electric South East Asia (HQ) Pte Ltd,"Sargent, Adam Charles; Owen, David Robert",23/08/2013,FILED,
2013220617,Holder for a solar panel,"Ilzhofer, Werner","Ilzhofer, Werner",24/01/2013,FILED,
2013220618,Device for supporting at least one solar panel,"Ilzhofer, Werner","Ilzhofer, Werner",24/01/2013,LAPSED,
2013222048,SUPPORT STRUCTURE FOR PHOTOVOLTAIC MODULE MOUNTING AND METHODS OF ITS USE,"PrimeStar Solar, Inc.","Reed, Max William",3/09/2013,FILED,
2013225860,Structures and methods for high efficiency compound semiconductor solar cells,"Solexel, Inc.","Kapur, Pawan; Moslehi, Mehrdad M.",28/02/2013,FILED,
2013227164,"Optical condenser, rotational axis setting method therefor, and heat collection apparatus and solar power generation apparatus equipped with optical condenser","Mitsubishi Heavy Industries, Ltd.","Furutani, Akira",25/02/2013,GRANTED,
2013227583,"Solar concentrator, and heat collection apparatus and solar thermal power generation apparatus including same","Mitsubishi Heavy Industries, Ltd.","Furutani, Akira; Furuta, Taizan",19/02/2013,ACCEPTED,
2013228056,SYSTEM FOR MEASURING ULTRAVIOLET SOLAR RADIATION WITH MEANS FOR DISPLAYING UV INFORMATION IN A PUBLIC OR PRIVATE PLACE,"Labra, Ernesto Vicente Gramsch; Teccia, Ltda.","Labra, Ernesto Vicente Gramsch; Viani, Tomas Pablo Santibanez",11/09/2013,LAPSED,
2013229146,Portable modular sun-tracking solar energy receiver system,Aspect Solar Pte Ltd,"Goei, Esmond T.; Goei, Andrew E.; Tan, Mok Tiong; Marnyo, Haryadi; Lei, Li; Mejia, Ryan Flores; Chin, Yen",11/03/2013,FILED,
2013230342,Ground source cooling apparatus for solar energy electricity generating system,"Beijing Terasolar Energy Technologies Co., Ltd","Liu, Yang",5/03/2013,FILED,
2013230691,Solar and renewable/waste energy powered turbine with two stage heating and graphite body heat exchanger,Graphite Energy N.V.,"Bain, Nicholas Jordan; Khoo, Paul Soo-Hock; Reynolds, David John",7/03/2013,FILED,
2013231094,SOLAR PANEL,Empire Technology Development LLC,"ELLIOTT, Stuart; LANYON, Samuel Ross Garland; VOM, Eduardo; ALLMAN, Richard",19/09/2013,GRANTED,
2013231335,Electric wall feedthrough for solar installations,Phoenix Contact GmbH & Co.KG,"Sagdic, Mehmet",12/03/2013,GRANTED,
2013232734,A method of fabricating a component of a solar energy system,Endless Solar Corporation Ltd,"Dennis, Michael",14/03/2013,FILED,
2013233954,A solar concentrator for a solar energy collector and a method of adjusting the solar concentrator,"Areva Solar, Inc.","Hoermann, Alexander; Ray, Forest",13/03/2013,FILED,
2013235508,"Multi-thermal storage unit systems, fluid flow control devices, and low pressure solar receivers for solar power systems, and related components and uses thereof",Wilson Solarpower Corporation,"Anderson, Bruce; Treece, William Dean",14/03/2013,FILED,
2013236290,Solar thermal power generation facility and method of starting up same,"Mitsubishi Heavy Industries, Ltd.","Harada, Shoichi; Higashi, Kazuya; Sonoda, Takashi; Yamamoto, Keisuke; Iwasaki, Yoshifumi; Iwasaki, Tatsuya; Toyofuku, Sumio; Nishizawa, Kazuma",18/03/2013,GRANTED,
2013237314,Solar control glazing,Saint-Gobain Glass France,"Singh, Laura Jane; Palacios-Laloy, Augustin; Sandre-Chardonnal, Etienne",8/03/2013,FILED,
2013237911,Back contact solar cells using aluminum-based alloy metallization,"Solexel, Inc.","Seutter, Sean M.; Moslehi, Mehrdad M.; Desphande, Anand; Rana, Virendra V.; Kapur, Pawan; Kramer, Karl-Josef; Calcaterra, Anthony; Dutton, David; Yonehara, Takao",28/03/2013,FILED,
2013237992,End point detection for back contact solar cell laser via drilling,"Solexel, Inc.","Rana, Virendra V.; Moslehi, Mehrdad M.; Anbalagan, Pranav; Deshazer, Heather; Coutant, Solene; Rattle, Benjamin E.; Kramer, Karl-Josef; Kapur, Pawan",28/03/2013,FILED,
2013239076,Solar array module system for generating electric power,Solarwat Ltd.,"Vatelmacher, Boris; Paz, Gabi",30/03/2013,FILED,
2013240255,Adjustable solar concentrator assembly and methods of using the same,One Earth Designs,"Chan, Tin Yi; Chui, Yim Ping; Frank, Scot Carrett; Kristofek, Grant W.; Kulper, Sloan Austin; Leung, Man Chuen; Micka-Smith, Heather; Powers, Catlin; Tolles, Christopher Mencke; Vleet, Liam Van; Wan, Tat Lee; Young, Erica Elizabeth",15/03/2013,CONVERTED,
2013241067,Linear solar energy collector system and solar power generator system,"Ricoh Company, Ltd.; Tokyo Institute of Technology","Satoh, Tatsuya; Suzuki, Mitsuo; Masuda, Koji; Ueda, Takeshi; Nagao, Kazuya; Kitabayashi, Junichi; Tamaura, Yutaka; Kaneko, Hiroshi",22/03/2013,FILED,
2013241851,Quinolinium dyes with fluorinated counter anion for dye sensitized solar cells,BASF SE,"Send, Robert; Bruder, Ingmar; Erk, Peter; Sens, Rudiger; Yamamoto, Hiroshi; Yamato, Hitoshi; Nakamichi, Shinji; Takahashi, Ryuichi",27/03/2013,FILED,
2013242235,"Method for manufacturing mirror structure, mirror structure, light collection device having same, heat collection facility and solar thermal power generation facility","Mitsubishi Heavy Industries, Ltd.","Furutani, Akira",21/03/2013,GRANTED,
2013242931,A dye-sensitized solar cell module having a serial structure and a method for manufacturing the solar cell,Exeger Sweden AB,"Lindstrom, Henrik; Fili, Giovanni",8/03/2013,FILED,
2013242933,A dye-sensitized solar cell including a composite substrate,Exeger Sweden AB,"Lindstrom, Henrik; Fili, Giovanni",8/03/2013,ACCEPTED,
2013242984,Method for producing thin-film solar modules and thin-film solar modules which are obtainable according to said method,Robert Bosch GmbH,"Probst, Volker",15/02/2013,FILED,
2013242989,"Multi-layer back electrode for a photovoltaic thin-film solar cell and use of the same for producing thin-film solar cells and modules, photovoltaic thin-film solar cells and modules containing the multi-layer back electrode and method for the production thereof",Robert Bosch GmbH,"Probst, Volker",18/02/2013,FILED,
2013242990,"Multi-layer back electrode for a photovoltaic thin-film solar cell, use of the same for producing thin-film solar cells and modules, photovoltaic thin-film solar cells and modules containing the multi-layer back electrode and method for the production thereof",Robert Bosch GmbH,"Probst, Volker",19/02/2013,FILED,
2013245188,Solar driven solvent extractor and process for extraction of microalgal lipids using the same,Council of Scientific & Industrial Research an Indian Registered Body Incorporated Under the Regn. of Soc. Act (Act XXI of 1860),"Ghosh, Pushpito Kumar; Mishra, Sandhya Chandrika Prasad; Maiti, Subarna; Paliwal, Chetan; Mishra, Sanjiv Kumar; Ghosh, Tonmoy; Chokshi, Kaumeel; Patel, Pankaj; Bharadia, Jitendra Narsinh",2/04/2013,FILED,
2013245471,Solar cells arrangement,Bar Ilan University; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA; YEDA RESEARCH AND DEVELOPMENT COMPANY LTD.,"ZABAN, Arie; CAHEN, David; LUBOMIRSKY, Igor; STAFSUDD, Oscar M.",16/10/2013,GRANTED,
2013245559,SINGLE CHIP GRID CONNECTED SOLAR MICRO INVERTER,Semitech Semiconductor Pty Ltd,"Collin, Zeev; Rhodes, F. Mathew",21/10/2013,FILED,
2013245614,Photovoltaic thin-film solar modules and method for producing such thin-film solar modules,Robert Bosch GmbH,"Probst, Volker",28/03/2013,FILED,
2013248187,High Efficiency Photovoltaic System,TSMC Solar Ltd.,"Cheng, Tzu-Huan; Chu, Li-Huan",23/10/2013,LAPSED,
